交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
1120215,1073,七星鱸,新竹,152.5,130.3,89.8,323.6,126.6
1120215,1086,三角仔【養】,嘉義,438.5,313.2,237.7,144.0,323.1
1120215,1086,三角仔【養】,彰化,459.0,323.0,259.0,171.0,337.6
1120215,1121,鱒魚,嘉義,196.0,192.0,190.0,72.0,192.4
1120215,1162,赤翅,斗南,231.0,223.7,220.0,30.0,224.4
1120215,1162,赤翅,台中,280.0,239.8,214.0,143.0,232.6
1120215,1164,紅鰽,埔心,89.0,89.0,89.0,0.7,89.0
1120215,1167,黃花,台北,200.0,194.5,167.5,697.5,190.2
1120215,1171,青斑,新營,184.0,182.6,178.0,17.7,182.0
1120215,1173,龍膽石斑,新營,265.0,257.0,250.0,31.8,257.2
1120215,1173,龍膽石斑,嘉義,316.0,226.5,85.4,75.7,216.2
1120215,1174,珍珠龍膽/龍虎斑,斗南,171.2,131.4,92.8,246.0,131.7
1120215,1201,富貴魚,苗栗,160.0,152.5,145.0,60.0,150.5
1120215,1272,午仔魚,台北,198.1,136.6,90.0,448.0,139.6
1120215,1999,其他養殖,新竹,100.0,0.0,0.0,60.0,100.0
1120215,1999,其他養殖,嘉義,43.7,27.4,23.1,159.6,29.8
1120215,2011,加臘,三重,0.0,180.0,0.0,28.0,180.0
1120215,2011,加臘,斗南,160.0,156.7,148.5,60.0,155.7
1120215,2011,加臘,埔心,201.0,198.8,196.0,88.5,198.7
1120215,2011,加臘,新竹,182.5,178.5,160.0,119.0,175.6
1120215,2011,加臘,澎湖,387.3,314.9,259.0,100.4,318.2
1120215,2013,盤仔,台中,243.8,145.6,56.3,594.0,130.9
1120215,2013,盤仔,岡山,208.8,52.2,35.6,396.8,80.2
1120215,2013,盤仔,新竹,38.4,19.4,10.7,83.2,21.5
1120215,2013,盤仔,嘉義,140.8,69.0,28.2,256.0,75.2
1120215,2015,黑鯛,斗南,220.0,220.0,220.0,14.4,220.0
1120215,2021,金線,苗栗,410.0,392.5,375.0,15.7,394.5
1120215,2041,秋姑,台北,93.1,50.6,40.0,151.0,57.0
1120215,2061,黃花,埔心,175.8,170.0,129.2,829.5,163.0
1120215,2063,黑口,台北,0.0,180.0,0.0,10.5,180.0
1120215,2064,白口,三重,160.0,78.3,42.9,319.2,72.1
1120215,2065,火口,台北,171.0,122.2,110.0,23.9,122.2
1120215,2066,油口,台中,309.0,250.0,169.0,55.0,243.4
1120215,2079,紅魽,桃園,0.0,0.0,100.0,32.0,100.0
1120215,2079,紅魽,彰化,230.0,223.0,220.0,27.2,223.4
1120215,2091,白鯧,埔心,385.0,372.7,293.8,34.4,359.4
1120215,2091,白鯧,新竹,370.0,0.0,0.0,16.0,370.0
